Streaming output truncated to the last 5000 lines.
{'t': 31.73000000000216, 'V': 63.678504870626824, 'n': 0.7625702315501449, 'm': 0.9840963037412925, 'h': 0.12619955042385295}
{'t': 31.740000000002162, 'V': 63.213560406793434, 'n': 0.7634206604922532, 'm': 0.9835798555288359, 'h': 0.12500493553446373}
{'t': 31.750000000002164, 'V': 62.750401483101356, 'n': 0.7642527451342338, 'm': 0.983047326683519, 'h': 0.12382441312348504}
{'t': 31.760000000002165, 'V': 62.28903733491748, 'n': 0.7650667097695845, 'm': 0.9824983215373575, 'h': 0.12265789970427679}
{'t': 31.770000000002167, 'V': 61.82947625191545, 'n': 0.7658627750645843, 'm': 0.9819324359149767, 'h': 0.12150531357553719}
{'t': 31.78000000000217, 'V': 61.3717256163031, 'n': 0.7666411581122548, 'm': 0.981349257137267, 'h': 0.12036657479250965}
{'t': 31.79000000000217, 'V': 60.91579193958049, 'n': 0.7674020724862619, 'm': 0.9807483640254363, 'h': 0.11924160513696623}
{'t': 31.80000000000217, 'V': 60.46168089780418, 'n': 0.7681457282947052, 'm': 0.9801293269059774, 'h': 0.11813032808593828}
{'t': 31.810000000002173, 'V': 60.00939736533404, 'n': 0.7688723322337365, 'm': 0.9794917076170383, 'h': 0.11703266877916733}
{'t': 31.820000000002175, 'V': 59.55894544703905, 'n': 0.7695820876409566, 'm': 0.9788350595166626, 'h': 0.11594855398525294}
{'t': 31.830000000002176, 'V': 59.11032850893938, 'n': 0.7702751945485385, 'm': 0.9781589274933422, 'h': 0.11487791206647736}
{'t': 31.840000000002178, 'V': 58.663549207262314, 'n': 0.7709518497360277, 'm': 0.9774628479792988, 'h': 0.11382067294229123}
{'t': 31.85000000000218, 'V': 58.21860951589046, 'n': 0.7716122467827713, 'm': 0.9767463489668914, 'h': 0.1127767680514486}
{'t': 31.86000000000218, 'V': 57.77551075218139, 'n': 0.7722565761199305, 'm': 0.9760089500285187, 'h': 0.11174613031278481}
{'t': 31.870000000002182, 'V': 57.334253601138556, 'n': 0.7728850250820296, 'm': 0.9752501623403662, 'h': 0.11072869408463569}
{'t': 31.880000000002184, 'V': 56.894838137914775, 'n': 0.7734977779579996, 'm': 0.9744694887103185, 'h': 0.10972439512290251}
{'t': 31.890000000002185, 'V': 56.457263848630404, 'n': 0.7740950160416714, 'm': 0.9736664236103363, 'h': 0.10873317053777339}
{'t': 31.900000000002187, 'V': 56.02152964948998, 'n': 0.7746769176816795, 'm': 0.9728404532135697, 'h': 0.10775495874911825}
{'t': 31.91000000000219, 'V': 55.58763390418257, 'n': 0.7752436583307325, 'm': 0.9719910554364525, 'h': 0.10678969944058189}
{'t': 31.92000000000219, 'V': 55.15557443955316, 'n': 0.775795410594214, 'm': 0.9711176999859956, 'h': 0.10583733351240686}
{'t': 31.93000000000219, 'V': 54.72534855953433, 'n': 0.7763323442780722, 'm': 0.9702198484124674, 'h': 0.1048978030330262}
{'t': 31.940000000002193, 'V': 54.2969530573298, 'n': 0.7768546264359624, 'm': 0.9692969541676189, 'h': 0.10397105118947413}
{'t': 31.950000000002195, 'V': 53.87038422584442, 'n': 0.7773624214156041, 'm': 0.9683484626685804, 'h': 0.10305702223667158}
{'t': 31.960000000002196, 'V': 53.44563786635777, 'n': 0.7778558909043173, 'm': 0.9673738113675246, 'h': 0.1021556614456526}
{'t': 31.970000000002198, 'V': 53.02270929544201, 'n': 0.7783351939737027, 'm': 0.9663724298271529, 'h': 0.10126691505080672}
{'t': 31.9800000000022, 'V': 52.601593350128134, 'n': 0.778800487123431, 'm': 0.9653437398020318, 'h': 0.1003907301962221}
{'t': 31.9900000000022, 'V': 52.18228439132866, 'n': 0.7792519243241085, 'm': 0.9642871553257663, 'h': 0.09952705488122407}
{'t': 32.0000000000022, 'V': 51.76477630552904, 'n': 0.7796896570591865, 'm': 0.9632020828039584, 'h': 0.09867583790521296}
